CVEGEO,Nombre,SCC_2003,SCC_2004,SCC_2005,SCC_2006,SCC_2007,SCC_2008,SCC_2009,SCC_2010,SCC_2011,SCC_2012,SCC_2013,SCC_2014,SCC_2015,SCC_2016
20001,Abejones,145,105,83,145,145,145,145,145,145,143,145,148,149,146
20002,Acatlán de Pérez Figueroa,27032,18854,18777,18272,18521,18897,18644,19091,21531,21696,22110,22931,21364,22706
20003,Asunción Cacalotepec,900,900,925,905,905,905,905,1105,1105,1105,1402,1405,1258,1270
20004,Asunción Cuyotepeji,337,333,222,126,131,129,114,229,193,230,222,178,164,163
20005,Asunción Ixtaltepec,4323,5500,7163,7109,6967,7066,7230,8429,6729,8244,9191,7378,8116,8682
20006,Asunción Nochixtlán,3343,3231,3367,3704,4399,3770,3810,2013,4458,3930,3669,3865,3691,4386
20007,Asunción Ocotlán,644,659,496,707,662,750,417,739,735,731,517,364,340,349
20008,Asunción Tlacolulita,464,295,345,296,346,616,613,518,639,646,659,611,680,615
20009,Ayotzintepec,2989,7786,6931,6674,7256,7609,7749,6901,8182,8394,7963,8244,8793,8291
20010,El Barrio de la Soledad,988,1338,1720,1658,1517,1069,1574,1850,1967,2220,2313,1807,1856,2345
20011,Calihualá,401,403,56,25,349,619,271,467,252,473,433,398,375,345
20012,Candelaria Loxicha,5235,6115,5235,5190,5160,5198,5248,5306,5308,5332,6809,6787,5358,4104
20013,Ciénega de Zimatlán,2352,2409,1487,1366,1751,1711,1363,1200,1044,1507,1453,947,861,848
20014,Ciudad Ixtepec,1578,1554,1623,1538,1412,2454,2645,2140,2499,2760,2086,1482,1172,1961
20015,Coatecas Altas,648,644,810,647,1358,1358,314,1363,1359,1310,1291,1097,1275,1333
20016,Coicoyán de las Flores,1350,1388,746,2488,2647,3644,2956,3667,1938,3735,3568,3338,3275,2994
20017,La Compañía,1322,920,2527,1295,2493,2466,748,2428,2559,2352,2320,2140,2301,2396
20018,Concepción Buenavista,644,239,212,280,676,671,282,340,672,670,69,623,568,556
20019,Concepción Pápalo,1241,1367,1330,1371,1160,1331,1408,1219,1302,1402,1395,1312,724,1398
20020,Constancia del Rosario,534,826,1003,757,789,798,822,694,823,822,858,845,857,862
20021,Cosolapa,6228,9706,9807,9625,9369,9517,9512,9420,10191,10627,10811,11194,2822,10262
20022,Cosoltepec,228,299,145,110,342,369,232,392,272,394,390,377,360,339
20023,Cuilápam de Guerrero,2343,2204,2456,2658,3348,3481,1469,2660,2682,2621,1076,2322,1097,2142
20024,Cuyamecalco Villa de Zaragoza,285,332,338,236,270,349,324,366,361,368,372,360,305,372
20025,Chahuites,3294,3119,3861,4684,4813,4733,4913,3737,4913,5516,4460,4539,2103,2190
20026,Chalcatongo de Hidalgo,3098,3052,3362,3008,3064,3023,3220,2734,3236,3183,3173,3093,3058,3091
20027,Chiquihuitlán de Benito Juárez,358,667,666,530,586,675,667,675,663,664,560,573,521,565
20028,Heroica Ciudad de Ejutla de Crespo,2864,4316,3957,3869,5570,5647,1622,5710,5753,5588,5341,5367,5539,5580
20029,Eloxochitlán de Flores Magón,1762,1684,1655,1488,1545,1721,1669,1566,1566,1567,1578,1585,1268,1575
20030,El Espinal,943,1103,1988,2275,2723,2715,2813,2593,2774,2828,2845,2494,2258,2624
20031,Tamazulápam del Espíritu Santo,1095,1170,1150,1177,1222,1212,1182,1182,1227,1182,1262,1237,1244,1235
20032,Fresnillo de Trujano,391,825,530,259,306,305,135,308,165,303,296,207,178,166
20033,Guadalupe Etla,784,756,558,447,432,470,430,441,417,394,242,359,319,261
20034,Guadalupe de Ramírez,510,508,330,181,555,556,232,557,286,549,548,414,362,310
20035,Guelatao de Juárez,122,122,112,122,129,120,120,122,120,115,140,75,75,78
20036,Guevea de Humboldt,5873,6084,5900,6831,6206,6324,6109,5983,5377,4428,5713,5544,5173,5321
20037,Mesones Hidalgo,1492,1401,1230,1518,1636,1643,1741,1456,1756,1756,1752,1754,1707,1698
20038,Villa Hidalgo,130,137,132,132,122,134,132,134,134,134,134,142,145,177
20039,Heroica Ciudad de Huajuapan de León,3661,3564,820,1314,2698,2715,1652,2889,1573,2918,2575,1988,1961,2066
20040,Huautepec,3891,3070,3071,2498,3010,3033,2954,2883,2897,2905,2681,2711,2485,2702
20041,Huautla de Jiménez,5243,10026,9071,9421,9386,10021,9655,9331,4542,3755,3636,3652,3315,3623
20042,Ixtlán de Juárez,3620,3366,2922,3470,3434,3443,3441,3470,3443,3452,3393,3423,3393,3397
20043,Heroica Ciudad de Juchitán de Zaragoza,11265,11101,12485,13053,15263,14329,15360,12650,14692,15826,14752,11956,11311,13634
20044,Loma Bonita,9364,8134,8913,9167,8720,19578,20860,19006,19069,18655,19191,19504,19856,19548
20045,Magdalena Apasco,422,1539,659,964,969,989,407,953,921,931,488,794,813,827
20046,Magdalena Jaltepec,2167,2469,2424,2423,3622,2635,3203,230,3646,3648,2554,3081,3561,3574
20047,Santa Magdalena Jicotlán,95,115,99,80,225,225,131,101,173,172,27,153,109,159
20048,Magdalena Mixtepec,665,434,500,427,608,613,520,610,611,585,549,526,413,221
20049,Magdalena Ocotlán,625,822,556,328,722,831,317,588,818,794,358,717,549,562
20050,Magdalena Peñasco,505,471,470,383,504,533,535,472,547,550,537,548,549,569
20051,Magdalena Teitipac,798,98,593,614,343,855,440,840,837,816,422,823,824,814
20052,Magdalena Tequisistlán,1691,1369,1974,1701,1134,2350,2200,2015,2340,2326,2301,1967,2208,2171
20053,Magdalena Tlacotepec,573,734,808,733,798,592,595,427,579,557,557,531,506,550
20054,Magdalena Zahuatlán,298,454,530,420,670,669,621,43,716,628,528,610,600,620
20055,Mariscala de Juárez,982,1030,936,167,1061,1062,838,1895,1053,998,967,538,856,674
20056,Mártires de Tacubaya,1095,1140,1130,1005,1215,1220,1242,1255,1238,1235,1322,1231,1366,1450
20057,Matías Romero Avendaño,6416,6186,15238,14651,13830,14033,14038,17036,19696,25375,35613,35604,35350,35466
20058,Mazatlán Villa de Flores,6842,3446,3440,2578,3032,3527,3128,3473,3444,3515,3482,3524,3191,3622
20059,Miahuatlán de Porfirio Díaz,687,1167,3021,3454,7018,8186,3420,8481,8411,8175,5627,7568,6064,7997
20060,Mixistlán de la Reforma,612,612,632,632,632,632,632,632,632,630,632,637,630,643
20061,Monjas,233,157,247,461,694,810,235,826,826,795,391,559,788,809
20062,Natividad,24,24,24,24,24,24,24,24,24,26,24,24,22,30
20063,Nazareno Etla,794,1038,846,490,508,490,285,242,159,226,176,227,197,203
20064,Nejapa de Madero,4796,1703,5752,5355,6969,7619,7392,7034,7454,7282,7053,6715,6897,6885
20065,Ixpantepec Nieves,487,483,227,167,457,456,224,539,343,544,456,404,367,352
20066,Santiago Niltepec,4702,4716,5754,6387,4520,6560,7346,2837,6453,6560,5218,5498,1596,6312
20067,Oaxaca de Juárez,23,242,352,305,357,362,165,357,357,257,175,211,163,166
20068,Ocotlán de Morelos,2204,5337,3431,2687,4169,3252,1305,3284,3168,3158,1663,2939,2577,2869
20069,La Pe,570,224,747,536,1677,1736,375,1786,1786,1725,1712,1650,1396,1592
20070,Pinotepa de Don Luis,1687,1604,1382,1472,1470,1517,1514,1446,1459,1493,1402,1020,1340,1701
20071,Pluma Hidalgo,5908,5908,5908,5908,5869,6003,6155,6174,6181,5812,5813,5821,4237,3466
20072,San José del Progreso,577,2121,1843,1158,2189,2549,1142,2538,2558,2424,1338,2347,2066,2177
20073,Putla Villa de Guerrero,5742,6527,5873,7783,6886,6836,7455,6373,7473,7469,8312,8764,8842,8603
20074,Santa Catarina Quioquitani,262,5,174,5,36,256,124,282,302,302,304,287,293,288
20075,Reforma de Pineda,1946,2272,2732,3970,4312,4212,3948,2782,4473,5072,4329,4260,2924,2805
20076,La Reforma,1084,1159,1086,1183,935,913,887,926,991,993,1530,1533,1534,1527
20077,Reyes Etla,786,838,926,539,745,760,437,695,605,656,330,620,574,636
20078,Rojas de Cuauhtémoc,257,307,602,276,424,309,195,321,380,331,229,239,249,254
20079,Salina Cruz,637,594,520,144,531,625,951,430,472,758,510,360,224,486
20080,San Agustín Amatengo,572,598,627,662,732,802,446,782,814,835,778,671,755,766
20081,San Agustín Atenango,528,536,190,110,406,406,180,1787,1020,480,411,367,356,345
20082,San Agustín Chayuco,3275,3395,3425,3395,3440,3385,3395,3190,2954,2947,2959,2668,2813,2972
20083,San Agustín de las Juntas,40,231,89,117,209,220,162,219,219,187,112,152,108,90
20084,San Agustín Etla,297,256,204,188,174,159,77,151,156,136,76,115,113,113
20085,San Agustín Loxicha,10004,11004,10004,10004,9520,9564,9560,9572,9572,9068,10907,10897,8854,7588
20086,San Agustín Tlacotepec,305,281,273,224,300,301,273,269,310,312,308,311,309,316
20087,San Agustín Yatareni,162,263,173,86,151,150,57,150,140,130,48,105,101,111
20088,San Andrés Cabecera Nueva,770,815,811,775,847,854,853,840,924,923,1129,1130,1140,1114
20089,San Andrés Dinicuiti,459,1185,526,261,797,757,420,1088,687,1181,1161,1057,987,832
20090,San Andrés Huaxpaltepec,2221,2100,1907,2072,2080,2108,2130,2152,2165,2136,2177,1986,2121,2424
20091,San Andrés Huayápam,882,809,773,588,761,765,449,749,764,744,416,711,565,363
