CVEGEO,Nombre,SSC_2003,SSC_2004,SSC_2005,SSC_2006,SSC_2007,SSC_2008,SSC_2009,SSC_2010,SSC_2011,SSC_2012,SSC_2013,SSC_2014,SSC_2015,SSC_2016,SSC_2017,SSC_2018,SSC_2019
20001,Abejones,145,145,145,145,145,145,145,145,145,143,145,148,149,146,,,
20002,Acatlán de Pérez Figueroa,28054,19036,18897,18443,18526,18917,18674,19421,24712,24332,24597,24268,24172,24040,,,
20003,Asunción Cacalotepec,900,900,925,935,943,905,905,1105,1402,1402,1402,1405,1309,1341,,,
20004,Asunción Cuyotepeji,337,333,246,145,131,129,133,229,228,237,230,186,172,170,,,
20005,Asunción Ixtaltepec,5303,5617,7208,7134,7281,7066,7922,9109,7096,8544,9348,8393,8463,8712,,,
20006,Asunción Nochixtlán,4398,3333,4367,4404,4404,4344,4410,4585,4458,4450,4475,4346,4357,4387,,,
20007,Asunción Ocotlán,651,743,496,827,722,750,732,739,735,731,712,364,340,349,,,
20008,Asunción Tlacolulita,569,580,628,663,684,664,691,565,693,695,709,641,702,628,,,
20009,Ayotzintepec,3114,7801,7820,6697,7256,7761,7751,7761,8606,8404,8008,8304,8865,8361,,,
20010,El Barrio de la Soledad,1492,1338,1720,1658,1517,1069,1747,2070,2067,2323,2313,2344,2342,2355,,,
20011,Calihualá,401,403,425,351,349,619,626,467,467,473,468,398,375,345,,,
20012,Candelaria Loxicha,6777,6657,6777,6732,6702,6745,6795,6192,6847,6871,6889,6887,6794,6709,,,
20013,Ciénega de Zimatlán,2392,2546,1601,1389,1774,1764,1769,1714,1714,1659,1568,1175,1014,852,,,
20014,Ciudad Ixtepec,2351,2344,2639,2474,2523,2465,2656,2608,2696,2771,3039,2012,1914,1961,,,
20015,Coatecas Altas,887,743,1275,868,1370,1372,1367,1368,1367,1321,1301,1313,1290,1348,,,
20016,Coicoyán de las Flores,1350,1388,946,2648,2647,3644,3646,3667,3666,3735,3664,3338,3275,3014,,,
20017,La Compañía,1514,1488,2816,1939,2750,2693,2706,2733,2733,2462,2448,2446,2421,2454,,,
20018,Concepción Buenavista,755,802,774,676,676,671,672,582,672,670,669,623,568,556,,,
20019,Concepción Pápalo,1241,1371,1334,1371,1325,1335,1412,1408,1331,1442,1432,1420,1429,1408,,,
20020,Constancia del Rosario,534,826,1003,757,789,798,822,823,823,822,858,845,857,866,,,
20021,Cosolapa,6255,9776,9851,9775,9371,9518,9514,9518,11470,11595,11859,11501,11096,10637,,,
20022,Cosoltepec,301,299,397,336,342,369,371,392,392,463,464,451,439,417,,,
20023,Cuilápam de Guerrero,2420,2300,2962,2807,3392,3502,3431,2682,2694,2637,2539,2328,2101,2145,,,
20024,Cuyamecalco Villa de Zaragoza,285,338,357,338,370,359,374,375,379,387,392,397,394,386,,,
20025,Chahuites,3742,3823,4463,4804,5015,4835,5133,3969,5196,5690,5156,4774,2258,2307,,,
20026,Chalcatongo de Hidalgo,3098,3052,3362,3008,3064,3023,3220,3236,3236,3234,3173,3093,3058,3091,,,
20027,Chiquihuitlán de Benito Juárez,358,667,716,667,670,675,667,677,671,674,567,581,572,568,,,
20028,Heroica Ciudad de Ejutla de Crespo,3166,4490,5175,4889,5794,5832,5827,5936,5931,5723,5749,5716,5713,5778,,,
20029,Eloxochitlán de Flores Magón,1762,1684,1655,1697,1699,1725,1673,1570,1570,1572,1580,1593,1582,1586,,,
20030,El Espinal,1169,1176,2023,2358,2723,2715,2813,2798,2800,2828,2845,2534,2556,2624,,,
20031,Tamazulápam del Espíritu Santo,1095,1170,1150,1190,1282,1212,1182,1182,1262,1262,1264,1243,1247,1262,,,
20032,Fresnillo de Trujano,833,825,530,305,306,305,309,308,308,303,296,207,178,166,,,
20033,Guadalupe Etla,939,832,718,488,432,470,486,441,446,409,368,359,319,261,,,
20034,Guadalupe de Ramírez,510,508,330,554,555,556,560,557,557,549,549,415,363,314,,,
20035,Guelatao de Juárez,122,122,122,122,129,120,120,122,120,115,140,75,75,78,,,
20036,Guevea de Humboldt,7069,7180,6535,7091,6401,6324,6109,6229,5430,4428,6443,5769,5499,5323,,,
20037,Mesones Hidalgo,1492,1401,1230,1518,1636,1643,1741,1756,1756,1756,1752,1754,1707,1698,,,
20038,Villa Hidalgo,130,137,132,132,122,134,132,134,134,144,145,154,160,193,,,
