CVEGEO,Nombre,SSR_2003,SSR_2004,SSR_2005,SSR_2006,SSR_2007,SSR_2008,SSR_2009,SSR_2010,SSR_2011,SSR_2012,SSR_2013,SSR_2014,SSR_2015,SSR_2016
20001,Abejones,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,Acatlán de Pérez Figueroa,0,0,0,0,0,0,0,2570,2620,2645,2640,2640,2692,2705
20003,Asunción Cacalotepec,0,0,0,30,0,0,0,0,0,0,0,0,0,0
20004,Asunción Cuyotepeji,112,110,80,75,57,55,57,73,72,74,70,52,47,48
20005,Asunción Ixtaltepec,722,718,1210,1450,1532,1477,892,1102,892,1764,1920,1603,1575,1584
20006,Asunción Nochixtlán,30,10,9,46,46,53,50,73,80,77,85,80,81,88
20007,Asunción Ocotlán,35,28,67,36,41,47,52,58,54,57,50,38,34,35
20008,Asunción Tlacolulita,101,100,109,116,136,116,123,116,120,126,117,134,116,109
20009,Ayotzintepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20010,El Barrio de la Soledad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20011,Calihualá,55,59,50,25,29,30,34,37,37,39,38,30,28,25
20012,Candelaria Loxicha,25,25,25,0,25,38,38,41,45,62,69,70,72,74
20013,Ciénega de Zimatlán,1151,1158,1088,690,669,759,764,709,709,677,595,504,476,283
20014,Ciudad Ixtepec,747,720,770,750,780,780,808,800,775,763,775,801,806,817
20015,Coatecas Altas,16,16,59,189,180,182,177,178,177,163,138,141,139,145
20016,Coicoyán de las Flores,126,169,176,88,85,85,85,92,91,92,98,88,87,82
20017,La Compañía,36,121,359,375,273,179,187,184,184,173,156,158,156,151
20018,Concepción Buenavista,61,16,3,15,15,14,14,1,1,1,1,1,1,0
20019,Concepción Pápalo,141,80,68,77,100,105,100,84,87,100,94,82,99,89
20020,Constancia del Rosario,318,383,336,45,84,88,102,108,108,108,147,146,150,147
20021,Cosolapa,0,0,0,0,0,0,0,750,750,755,758,759,828,828
20022,Cosoltepec,2,2,0,2,2,2,2,2,2,2,2,2,2,2
20023,Cuilápam de Guerrero,155,377,427,282,329,416,375,200,200,192,151,153,131,124
20024,Cuyamecalco Villa de Zaragoza,22,22,22,22,26,27,30,32,30,33,39,36,38,36
20025,Chahuites,0,0,105,105,105,105,125,125,133,159,159,212,257,267
20026,Chalcatongo de Hidalgo,320,267,154,0,120,128,209,217,217,217,243,195,197,204
20027,Chiquihuitlán de Benito Juárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20028,Heroica Ciudad de Ejutla de Crespo,250,325,689,613,555,552,547,556,551,527,563,541,551,566
20029,Eloxochitlán de Flores Magón,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030,El Espinal,449,487,1172,1521,1737,1729,1809,1789,1789,1777,1833,1765,1799,1790
20031,Tamazulápam del Espíritu Santo,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20032,Fresnillo de Trujano,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20033,Guadalupe Etla,445,306,344,125,116,154,166,125,125,112,94,97,90,77
20034,Guadalupe de Ramírez,3,3,0,1,1,1,1,1,1,1,1,1,1,1
20035,Guelatao de Juárez,34,34,34,34,34,34,34,34,34,33,54,24,24,29
20036,Guevea de Humboldt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20037,Mesones Hidalgo,474,457,402,0,150,152,235,245,245,246,244,245,239,236
20038,Villa Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20039,Heroica Ciudad de Huajuapan de León,332,369,193,188,184,196,177,207,205,207,198,155,157,160
20040,Huautepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0
