CVEGEO,Nombre,VPC_2003,VPC_2004,VPC_2005,VPC_2006,VPC_2007,VPC_2008,VPC_2009,VPC_2010,VPC_2011,VPC_2012,VPC_2013,VPC_2014,VPC_2015,VPC_2016
20001,Abejones,568,440,307,576,598,672,672,690,745,834,731,634,658,698
20002,Acatlán de Pérez Figueroa,501032,339100,338109,379606,424754,410330,437998,646806,813566,723474,641600,573662,459780,719155
20003,Asunción Cacalotepec,3417,4024,3659,4201,4883,5015,4779,6740,7546,5855,7221,8804,5544,5714
20004,Asunción Cuyotepeji,2165,1689,1783,1789,1681,2108,1305,5313,5212,5491,4574,4170,3602,3932
20005,Asunción Ixtaltepec,14696,17054,28978,34061,45438,46786,50112,53370,52647,83766,89532,83195,84206,93281
20006,Asunción Nochixtlán,7679,8604,6818,18029,15697,17165,19869,9802,28995,22533,16248,21324,20423,25086
20007,Asunción Ocotlán,4102,1943,2308,2388,5050,3680,6854,9285,7959,9089,7538,5539,3828,3917
20008,Asunción Tlacolulita,8063,2510,2773,2494,3435,4060,4464,4399,5841,5205,4811,8641,5134,6193
20009,Ayotzintepec,28345,100657,52559,55200,80531,81416,82225,70550,103645,105399,102513,109186,119242,97306
20010,El Barrio de la Soledad,4308,5982,6262,6374,14934,9881,12839,12088,17639,19164,20214,17398,18489,20115
20011,Calihualá,1086,1096,247,60,862,1691,845,1782,1765,4716,2824,2616,1887,1425
20012,Candelaria Loxicha,14527,10807,8990,9772,10730,12143,12889,10494,13611,15139,19158,16277,17703,15434
20013,Ciénega de Zimatlán,64673,23785,23460,21046,28311,31251,26467,34574,23236,33992,34354,26346,17689,14809
20014,Ciudad Ixtepec,6008,5465,5863,5585,5919,12542,13020,14614,16200,18679,10113,6945,8272,14860
20015,Coatecas Altas,5335,2542,3455,3521,7511,6806,3602,11042,8769,10198,7574,8598,7807,7617
20016,Coicoyán de las Flores,3369,3486,1716,11267,9726,10911,9245,17090,11243,19235,13137,15431,13386,11372
20017,La Compañía,6333,4551,9769,10122,19249,17405,14295,22733,26338,17905,18184,17750,17944,27182
20018,Concepción Buenavista,1742,623,471,439,1427,1818,1059,1421,2673,2717,898,2059,1968,1755
20019,Concepción Pápalo,5749,4561,4702,6028,6161,7274,6416,6602,7563,7580,8504,7014,4987,7898
