ID_REINA,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,VPC_LISA_I,VPC_LISA_CL,VPC_LISA_P,VPNM_LISA_I,VPNM_LISA_CL,VPNM_LISA_P,VPT_LISA_I,VPT_LISA_CL,VPT_LISA_P,VPM_LISA_I,VPM_LISA_CL,VPM_LISA_P
1,20411,20,411, ,0.046634752553935,0,0.373,0.010369696256771,0,0.055,0.088544592550331,0,0.378,0.036440364423716,0,0.288
2,20417,20,417, ,4.60834056413639,1,0.002,-0.036372212822997,4,0.001,2.99045926300359,1,0.004,0.036440364423715,0,0.491
3,20424,20,424, ,0.049357037940779,2,0.037,0.010369696256771,0,0.155,0.120767819981409,2,0.014,0.385756534931404,0,0.077
4,20426,20,426, ,0.036837057422073,0,0.246,1.68784321322806,0,0.081,0.026463109571081,0,0.238,0.002088472216242,0,0.26
5,20428,20,428, ,-0.000835135908202,0,0.151,-0.106485076442649,3,0.022,0.040000564908649,0,0.363,-0.064720273009727,0,0.095
6,20430,20,430, ,0.060210468548487,0,0.06,0.010369696256771,0,0.077,0.093455277371068,0,0.293,0.036440364423715,0,0.455
7,20435,20,435, ,0.036322561745693,0,0.47,0.010369696256771,0,0.097,0.088841133370809,0,0.326,0.036440364423715,0,0.447
8,20437,20,437, ,0.034216819082379,0,0.322,0.010369696256771,0,0.1,0.073732948654432,2,0.047,0.036440364423715,0,0.5
9,20439,20,439, ,0.241506651920034,0,0.155,0.010369696256771,0,0.101,0.3522511788481,0,0.179,-0.023144261712149,0,0.169
10,20442,20,442, ,0.065475673501152,2,0.003,0.010369696256771,0,0.113,0.121623877199481,0,0.059,0.091651848894897,0,0.082
11,20446,20,446, ,0.012908348244077,0,0.216,0.010369696256771,0,0.056,-0.023202861880948,0,0.204,-0.048512519655268,0,0.127
12,20447,20,447, ,-0.023821311779819,0,0.344,0.010369696256771,0,0.116,0.111625343890827,0,0.171,-0.066752086505649,0,0.391
13,20450,20,450,Santiago Amoltepec,0.02129501817974,0,0.346,0.010369696256771,0,0.093,-0.037964961702578,0,0.171,-0.011532380368972,0,0.203
14,20451,20,451,Santiago Apoala,0.048225551486196,0,0.187,0.010369696256771,0,0.102,0.067993333684167,0,0.298,0.036440364423715,0,0.44
15,20456,20,456,Santiago Cacaloxtepec,0.035597344638576,0,0.421,0.010369696256771,0,0.095,-0.03332441638577,0,0.277,0.036440364423715,0,0.434
16,20457,20,457, ,0.004169376596926,0,0.293,0.010369696256771,0,0.139,-0.015193624412883,0,0.25,-0.115438412758374,0,0.057
17,20459,20,459,Santiago Chazumba,0.012333759228293,0,0.258,0.010369696256771,2,0.036,0.005419854136012,0,0.488,0.036440364423715,0,0.189
18,20464,20,464, ,0.063537926824333,2,0.001,0.010369696256771,0,0.113,0.082649809801066,0,0.169,0.036440364423715,0,0.424
19,20469,20,469,Santiago Juxtlahuaca,0.014063370531389,0,0.459,0.010369696256771,0,0.126,-0.006671605309429,0,0.401,0.036440364423715,0,0.347
20,20475,20,475, ,-0.044041628589409,0,0.42,0.010369696256771,0,0.137,0.026096847852583,0,0.251,0.015098777630025,0,0.385
21,20477,20,477,Santiago Minas,0.015301009634731,0,0.304,0.010369696256771,0,0.128,0.112303859174156,0,0.137,-0.029312081036137,0,0.156
22,20485,20,485,Santiago Tapextla,-0.001379291043809,0,0.113,0.010369696256771,2,0.017,0.580359924942642,0,0.09,0.036440364423715,0,0.111
23,20492,20,492,Santiago Tilantongo,0.044469159156889,2,0.026,0.010369696256771,0,0.174,0.045509392728642,2,0.003,0.036440364423715,0,0.271
24,20493,20,493,Santiago Tillo,0.033333256052691,0,0.424,0.010369696256771,0,0.079,0.141864539473499,2,0.007,0.036440364423715,0,0.361
25,20495,20,495,Santiago Xanica,0.009139906571507,0,0.242,0.010369696256771,0,0.075,0.04858405048855,0,0.458,-0.051313043023998,0,0.119
