ID_REINA,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,APM_1994,APM_1995,APM_1996,APM_1997,APM_1998,APM_1999,APM_2000,APM_2001,APM_2002,APM_2003,APM_2004,APM_2005,APM_2006,APM_2007,APM_2008,APM_2009,APM_2010,APM_2011,APM_2012,APM_2013,APM_2014,APM_2015,APM_2016,CVEGEO_1,Nombre,APNM_1994,APNM_1995,APNM_1996,APNM_1997,APNM_1998,APNM_1999,APNM_2000,APNM_2001,APNM_2002,APNM_2003,APNM_2004,APNM_2005,APNM_2006,APNM_2007,APNM_2008,APNM_2009,APNM_2010,APNM_2011,APNM_2012,APNM_2013,APNM_2014,APNM_2015,APNM_2016,CVEGEO_2,Nombre_1,PM_1995,PM_1996,PM_1997,PM_1998,PM_1999,PM_2000,PM_2001,PM_2002,PM_2003,PM_2004,PM_2005,PM_2006,PM_2007,PM_2008,PM_2009,PM_2010,PM_2011,PM_2012,PM_2013,PM_2014,PM_2015,PM_2016,promedio,CVEGEO_3,NOMBRE_2,PNM_1994,PNM_1995,PNM_1996,PNM_1997,PNM_1998,PNM_1999,PNM_2000,PNM_2001,PNM_2002,PNM_2003,PNM_2004,PNM_2005,PNM_2006,PNM_2007,PNM_2008,PNM_2009,PNM_2010,PNM_2011,PNM_2012,PNM_2013,PNM_2014,PNM_2015,PNM_2016,CVEGEO_4,NOMBRE_1_1,VPM_1994,VPM_1995,VPM_1996,VPM_1997,VPM_1998,VPM_1999,VPM_2000,VPM_2001,VPM_2002,VPM_2003,VPM_2004,VPM_2005,VPM_2006,VPM_2007,VPM_2008,VPM_2009,VPM_2010,VPM_2011,VPM_2012,VPM_2013,VPM_2014,VPM_2015,VPM_2016,CVEGEO_5,NOMBRE_2_1,VPNM_1994,VPNM_1995,VPNM_1996,VPNM_1997,VPNM_1998,VPNM_1999,VPNM_2000,VPNM_2001,VPNM_2002,VPNM_2003,VPNM_2004,VPNM_2005,VPNM_2006,VPNM_2007,VPNM_2008,VPNM_2009,VPNM_2010,VPNM_2011,VPNM_2012,VPNM_2013,VPNM_2014,VPNM_2015,VPNM_2016,VPM_LISA_I,VPM_LISA_CL,VPM_LISA_P
1,20411,20,411, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20411, ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20411, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20411, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20411, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20411, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036440364423716,0,0.288
2,20417,20,417, ,,0,0,0,0,0,284,15110,11086,5444,13347,12053,7404,11415,2620,4674,3120,0,0,0,0,0,0,20417, ,,,,176,87,176,250,202,0,0,1588,0,0,0,0,0,0,2315,2315,2315,2315,2321,6,20417, ,0,0,0,0,0,0,1825,1223,536,411,2484,1031,3020,0,0,0,0,0,0,0,0,0,478.636363636364,20417, ,,0,61,22,45,51,67,44,13,46,0,0,0,0,0,0,0,0,0,0,0,0,2,20417, ,,0,0,0,0,0,0,1095,856,362,165,1299,536,1631,0,0,0,0,0,0,0,0,0,20417, ,,0,80,71,152,237,301,220,106,186,0,0,0,0,0,0,0,0,0,0,0,0,11,0.036440364423715,0,0.491
3,20424,20,424, ,,16055,15743,19687,16577,9801,7315,2156,8882,8205,4133,3984,3506,4189,3085,4229,4865,5580,8264,9283,6142,13275,15904,20424, ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20424, ,4826,9697,9352,6742,6617,4506,3459,2497,4513,5080,2737,4423,4791,3043,6179,4954,4905,3648,4571,2457,8079,4043,5050.86363636364,20424, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20424, ,,1197,3782,4489,2665,3970,3225,2767,2230,3014,3418,2097,3401,3664,2470,4710,3898,4053,3071,4579,2548,8219,4923,20424, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385756534931404,0,0.077
4,20426,20,426, ,,0,0,0,0,0,0,0,0,0,0,0,430,619,371,10069,0,0,0,0,0,0,0,20426, ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,299,20426, ,0,0,0,0,0,0,0,0,506,0,0,0,492,0,3028,0,0,0,0,0,0,0,183,20426, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20426, ,,0,0,0,0,0,0,0,0,253,0,0,0,416,0,2420,0,0,0,0,0,0,0,20426, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0.002088472216242,0,0.26
5,20428,20,428, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20428, ,,,,0,0,0,0,0,0,227,0,0,0,0,0,521,0,0,104,104,0,0,0,20428, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20428, ,,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,20428, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20428, ,,0,0,0,0,0,0,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,0,-0.064720273009727,0,0.095
6,20430,20,430, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20430, ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,505,505,505,0,20430, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20430, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20430, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20430, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036440364423715,0,0.455
7,20435,20,435, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,20435, ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20435, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20435, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20435, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20435, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036440364423715,0,0.447
8,20437,20,437, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,357,395,592,1205,20437, ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20437, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20437, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20437, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20437, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036440364423715,0,0.5
9,20439,20,439, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20439, ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20439, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20439, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20439, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20439, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023144261712149,0,0.169
10,20442,20,442, ,,0,64,13135,12617,0,0,0,0,0,0,0,0,0,0,0,411,8543,6230,5544,4622,5646,5736,20442, ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20442, ,0,597,1074,2838,3572,3986,279,580,1948,973,2730,1498,0,0,0,0,0,1370,1986,1886,1454,2698,1339.5,20442, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20442, ,,0,233,504,1271,2628,2474,223,522,1520,789,2088,1146,0,0,0,0,0,1286,2217,1549,1947,2829,20442, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091651848894897,0,0.082
