CVEGEO,Nombre,PT_2012,PT_2013,PT_2014,PT_2015,PT_2016
20001,Abejones,58,57,78,2087,80
20002,Acatlán de Pérez Figueroa,3614,3634,3407,104128,3221
20003,Asunción Cacalotepec,22,21,21,327,24
20004,Asunción Cuyotepeji,85,72,73,1529,69
20005,Asunción Ixtaltepec,4573,4465,4377,91275,4918
20006,Asunción Nochixtlán,745,769,781,19368,769
20007,Asunción Ocotlán,315,307,306,2392,297
20008,Asunción Tlacolulita,56,56,56,1164,59
20009,Ayotzintepec,928,936,804,48573,851
20010,El Barrio de la Soledad,1497,1471,1452,33811,1597
20011,Calihualá,192,182,179,3162,157
20012,Candelaria Loxicha,307,293,264,6315,234
20013,Ciénega de Zimatlán,857,850,847,5643,838
20014,Ciudad Ixtepec,330,330,329,9222,351
20015,Coatecas Altas,358,409,407,4503,399
20016,Coicoyán de las Flores,271,259,249,6563,223
20017,La Compañía,427,502,498,3858,458
20018,Concepción Buenavista,206,161,161,4600,125
20019,Concepción Pápalo,125,128,128,4093,130
20020,Co0tancia del Rosario,96,109,105,2656,113
20021,Cosolapa,319,322,304,18091,301
20022,Cosoltepec,180,177,160,3428,143
20023,Cuilápam de Guerrero,970,964,919,11719,907
20024,Cuyamecalco Villa de Zaragoza,127,128,130,4055,130
20025,Chahuites,233,233,234,5383,232
20026,Chalcatongo de Hidalgo,381,358,385,10883,380
20027,Chiquihuitlán de Benito Juárez,110,112,113,3202,113
20028,Heroica Ciudad de Ejutla de Crespo,1395,1646,1627,17846,1503
20029,Eloxochitlán de Flores Magón,114,115,116,2847,117
20030,El Espinal,1046,1039,1036,17578,1123
20031,Tamazulápam del Espíritu Santo,146,149,144,2478,153
20032,Fresnillo de Trujano,54,55,49,1433,49
20033,Guadalupe Etla,326,315,314,1696,296
20034,Guadalupe de Ramírez,119,114,100,3525,105
20035,Guelatao de Juárez,30,30,8,178,8
20036,Guevea de Humboldt,254,258,257,5664,268
20037,Mesones Hidalgo,216,239,300,5877,334
20038,Villa Hidalgo,52,53,53,1351,54
20039,Heroica Ciudad de Huajuapan de León,1275,1221,1238,35644,1174
20040,Huautepec,78,79,80,3080,81
20041,Huautla de Jiménez,493,500,508,20487,511
20042,Ixtlán de Juárez,642,656,629,14046,617
20043,Heroica Ciudad de Juchitán de Zaragoza,4293,4375,4346,77692,3441
20044,Loma Bonita,5009,5083,5032,130116,4609
20045,Magdalena Apasco,286,281,280,1649,274
20046,Magdalena Jaltepec,417,420,417,7700,414
20047,Santa Magdalena Jicotlán,12,14,13,697,11
20048,Magdalena Mixtepec,29,22,21,298,22
20049,Magdalena Ocotlán,198,188,185,1069,180
20050,Magdalena Peñasco,90,92,42,1346,39
20051,Magdalena Teitipac,222,214,212,2470,173
20052,Magdalena Tequisistlán,373,363,370,9468,381
20053,Magdalena Tlacotepec,50,37,35,1203,40
20054,Magdalena Zahuatlán,24,26,25,740,26
20055,Mariscala de Juárez,247,233,200,6045,190
20056,Mártires de Tacubaya,652,626,614,20901,610
20057,Matías Romero Avendaño,14223,14011,13788,395631,15479
20058,Mazatlán Villa de Flores,543,548,555,17571,557
20059,Miahuatlán de Porfirio Díaz,1131,1322,1308,15450,1247
20060,Mixistlán de la Reforma,27,35,33,735,34
20061,Monjas,152,171,171,2070,180
20062,Natividad,11,11,11,335,10
20063,Nazareno Etla,344,336,335,1930,327
20064,Nejapa de Madero,424,411,423,9833,434
20065,Ixpantepec Nieves,142,137,122,2496,113
20066,Santiago Niltepec,1412,1359,1437,26476,1440
20067,Oaxaca de Juárez,4027,3978,4037,89314,3984
20068,Ocotlán de Morelos,2718,2677,2726,35751,2688
20069,La Pe,233,267,265,4328,271
20070,Pinotepa de Don Luis,523,516,578,21024,571
20071,Pluma Hidalgo,69,70,119,2522,122
20072,San José del Progreso,760,737,732,5414,706
20073,Putla Villa de Guerrero,487,882,1314,21814,1387
20074,Santa Catarina Quioquitani,17,17,18,760,18
20075,Reforma de Pineda,396,401,405,11210,398
20076,La Reforma,214,188,244,4786,268
20077,Reyes Etla,799,792,793,4214,777
20078,Rojas de Cuauhtémoc,418,401,398,2639,321
20079,Salina Cruz,102,104,99,4861,108
20080,San Agustín Amatengo,142,160,158,2019,163
20081,San Agustín Atenango,96,95,91,2393,82
20082,San Agustín Chayuco,878,859,938,33343,930
20083,San Agustín de las Juntas,97,86,85,1568,59
20084,San Agustín Etla,72,67,67,386,85
20085,San Agustín Loxicha,110,111,78,3633,85
20086,San Agustín Tlacotepec,62,80,85,1466,78
20087,San Agustín Yatareni,70,60,60,567,65
20088,San Andrés Cabecera Nueva,323,278,300,5480,310
20089,San Andrés Dinicuiti,232,214,210,6520,195
20090,San Andrés Huaxpaltepec,1304,1297,1268,40023,1258
20091,San Andrés Huayápam,67,62,62,508,61
20092,San Andrés Ixtlahuaca,224,209,212,1326,207
20093,San Andrés Lagunas,67,66,68,1619,49
20094,San Andrés Nuxiño,196,199,198,3048,198
20095,San Andrés Paxtlán,43,48,46,812,30
20096,San Andrés Sinaxtla,18,21,22,584,25
20097,San Andrés Solaga,119,116,113,3252,114
20098,San Andrés Teotilálpam,211,215,216,7347,217
20099,San Andrés Tepetlapa,81,78,87,1489,74
20100,San Andrés Yaá,25,25,26,750,26
20101,San Andrés Zabache,48,53,54,627,52
20102,San Andrés Zautla,519,496,496,3150,483
20103,San Antonino Castillo Velasco,40,37,28,259,28
20104,San Antonino el Alto,108,95,95,1040,94
20105,San Antonino Monte Verde,289,211,201,5612,168
20106,San Antonio Acutla,16,17,16,770,16
20107,San Antonio de la Cal,108,97,99,540,94
20108,San Antonio Huitepec,659,489,489,3407,467
20109,San Antonio Nanahuatípam,261,265,268,3801,266
20110,San Antonio Sinicahua,155,161,96,2993,93
20111,San Antonio Tepetlapa,274,264,344,15007,330
