CVEGEO,Nombre,VPT_2012,VPT_2013,VPT_2014,VPT_2015,VPT_2016
20001,Abejones,1638,1497,2224,189,2251
20002,Acatlán de Pérez Figueroa,71359,83464,89372,13764,102310
20003,Asunción Cacalotepec,615,536,518,250,619
20004,Asunción Cuyotepeji,2273,1824,1669,201,1762
20005,Asunción Ixtaltepec,53462,71194,83413,21373,118252
20006,Asunción Nochixtlán,19273,20189,20506,1943,21039
20007,Asunción Ocotlán,3880,3871,3799,1634,4436
20008,Asunción Tlacolulita,1111,1474,1465,259,1455
20009,Ayotzintepec,26462,27549,33385,2807,42955
20010,El Barrio de la Soledad,22071,29431,31342,8169,44536
20011,Calihualá,4609,4437,3814,492,3449
20012,Candelaria Loxicha,8985,10243,9512,3605,10249
20013,Ciénega de Zimatlán,9734,9764,9686,4652,11397
20014,Ciudad Ixtepec,7904,8243,9009,1164,10778
20015,Coatecas Altas,5979,6205,6229,2063,7785
20016,Coicoyán de las Flores,7713,7579,7069,589,6873
20017,La Compañía,6953,7645,7614,1678,9198
20018,Concepción Buenavista,4702,4296,4298,267,4334
20019,Concepción Pápalo,3052,3559,3895,304,4148
20020,Co0tancia del Rosario,2253,3232,3675,1515,4257
20021,Cosolapa,10765,12183,13325,794,14955
20022,Cosoltepec,4540,4635,3837,393,3763
20023,Cuilápam de Guerrero,15610,16057,14893,3698,17295
20024,Cuyamecalco Villa de Zaragoza,3086,3525,3893,303,4085
20025,Chahuites,7783,8291,8170,5367,12944
20026,Chalcatongo de Hidalgo,8677,9020,11247,1202,12024
20027,Chiquihuitlán de Benito Juárez,2502,2899,3157,359,3356
20028,Heroica Ciudad de Ejutla de Crespo,23237,24570,24603,7810,29580
20029,Eloxochitlán de Flores Magón,3242,3598,3876,1351,4299
20030,El Espinal,16652,18013,21545,5014,23024
20031,Tamazulápam del Espíritu Santo,3867,3591,3275,995,3655
20032,Fresnillo de Trujano,1536,1633,1384,114,1614
20033,Guadalupe Etla,3266,3204,3172,1732,3767
20034,Guadalupe de Ramírez,3842,3749,3021,166,3634
20035,Guelatao de Juárez,1099,973,211,44,208
20036,Guevea de Humboldt,5155,5682,6646,1012,6962
20037,Mesones Hidalgo,3268,4420,7033,2502,8315
20038,Villa Hidalgo,1724,1623,1537,255,1555
20039,Heroica Ciudad de Huajuapan de León,38894,37307,36966,1805,38093
20040,Huautepec,2104,2530,2848,105,3068
20041,Huautla de Jiménez,13988,16935,19158,773,20397
20042,Ixtlán de Juárez,19494,17892,16419,2858,15744
20043,Heroica Ciudad de Juchitán de Zaragoza,71510,78205,90471,12211,88852
20044,Loma Bonita,78733,83694,110832,19496,130217
20045,Magdalena Apasco,3052,3036,2979,1558,3460
20046,Magdalena Jaltepec,8751,8985,8795,1437,9042
20047,Santa Magdalena Jicotlán,607,675,672,21,631
20048,Magdalena Mixtepec,467,391,375,97,497
20049,Magdalena Ocotlán,2079,1981,1946,1024,2285
20050,Magdalena Peñasco,1330,1597,1424,125,1446
20051,Magdalena Teitipac,3521,3410,3319,955,3633
20052,Magdalena Tequisistlán,8700,10729,10875,1534,10999
20053,Magdalena Tlacotepec,1011,1028,1129,109,1339
20054,Magdalena Zahuatlán,738,816,809,89,838
20055,Mariscala de Juárez,7451,7425,6339,546,6461
20056,Mártires de Tacubaya,9766,13268,16078,2678,21801
20057,Matías Romero Avendaño,218434,301107,359216,51714,481187
20058,Mazatlán Villa de Flores,12588,15012,16939,1308,17881
20059,Miahuatlán de Porfirio Díaz,20357,21165,21141,6514,25284
20060,Mixistlán de la Reforma,712,1006,927,180,932
20061,Monjas,2653,2755,2774,801,3617
20062,Natividad,406,346,327,23,339
20063,Nazareno Etla,3583,3528,3514,1832,4143
20064,Nejapa de Madero,9599,11921,12182,2153,12237
20065,Ixpantepec Nieves,3341,3276,2699,327,2717
20066,Santiago Niltepec,25855,26520,27734,5454,32496
20067,Oaxaca de Juárez,102930,109444,109461,22135,119308
20068,Ocotlán de Morelos,47155,48747,49831,16211,55908
20069,La Pe,3589,3723,3718,1993,4927
20070,Pinotepa de Don Luis,8508,11373,17195,3361,22847
20071,Pluma Hidalgo,1764,2313,2835,1005,3419
20072,San José del Progreso,9152,8999,8930,3915,10207
20073,Putla Villa de Guerrero,8863,21137,35860,18696,41936
20074,Santa Catarina Quioquitani,571,669,769,8,743
20075,Reforma de Pineda,7523,7659,8565,1645,14043
20076,La Reforma,3442,2939,5169,1288,6200
20077,Reyes Etla,7949,8002,7974,4446,9530
20078,Rojas de Cuauhtémoc,4796,4485,4334,2118,4916
20079,Salina Cruz,3690,4320,4344,114,5101
20080,San Agustín Amatengo,2613,2681,2679,734,3503
20081,San Agustín Atenango,2807,2860,2536,208,2557
20082,San Agustín Chayuco,13458,17728,26435,4646,35343
20083,San Agustín de las Juntas,2017,1909,1963,378,1108
20084,San Agustín Etla,779,705,689,375,2197
20085,San Agustín Loxicha,2863,3788,3029,477,4329
20086,San Agustín Tlacotepec,915,1502,1739,387,1825
20087,San Agustín Yatareni,911,844,854,306,804
20088,San Andrés Cabecera Nueva,4669,5594,6245,1507,6901
20089,San Andrés Dinicuiti,7812,7067,6810,376,6725
20090,San Andrés Huaxpaltepec,22410,29784,35160,9611,46275
20091,San Andrés Huayápam,891,821,802,326,971
20092,San Andrés Ixtlahuaca,2577,2341,2361,1162,2854
20093,San Andrés Lagunas,1947,1866,1895,98,1845
20094,San Andrés Nuxiño,3666,3759,3644,787,3613
20095,San Andrés Paxtlán,1040,1070,1076,246,1097
20096,San Andrés Sinaxtla,513,588,599,78,701
20097,San Andrés Solaga,4064,3635,3457,290,3479
20098,San Andrés Teotilálpam,5033,5724,6758,605,7691
20099,San Andrés Tepetlapa,1771,1727,1971,208,1797
20100,San Andrés Yaá,843,772,777,50,784
20101,San Andrés Zabache,829,856,886,255,1070
20102,San Andrés Zautla,5808,5508,5532,2655,6430
20103,San Antonino Castillo Velasco,446,426,396,155,459
20104,San Antonino el Alto,1655,1532,1519,461,1822
20105,San Antonino Monte Verde,8588,6375,6074,268,6395
20106,San Antonio Acutla,726,793,763,67,771
20107,San Antonio de la Cal,1118,1011,1003,541,1143
20108,San Antonio Huitepec,6711,5659,5643,2595,6543
20109,San Antonio Nanahuatípam,3421,3993,4556,1421,4621
20110,San Antonio Sinicahua,3682,3905,3193,361,3308
20111,San Antonio Tepetlapa,4714,6103,11508,1505,15521
20112,San Baltazar Chichicápam,3318,3197,3182,1117,3578
20113,San Baltazar Loxicha,855,983,1087,176,1495
20114,San Baltazar Yatzachi el Bajo,2608,2358,2387,178,2381
20115,San Bartolo Coyotepec,3507,3320,3275,1109,4291
20116,San Bartolomé Ayautla,6695,7433,9038,947,10532
20117,San Bartolomé Loxicha,792,828,889,180,1068
20118,San Bartolomé Quialana,4427,4354,4267,1687,4743
20119,San Bartolomé Yucuañe,488,967,1001,108,1030
20120,San Bartolomé Zoogocho,1247,1141,1214,40,1202
20121,San Bartolo Soyaltepec,3978,3897,3911,112,2869
20122,San Bartolo Yautepec,671,811,872,198,935
20123,San Bernardo Mixtepec,2348,2124,2103,1086,3248
20124,San Blas Atempa,10409,11111,13133,3168,14549
20125,San Carlos Yautepec,8975,10586,11605,1819,11375
20126,San Cristóbal Amatlán,2170,2140,2144,642,3135
20127,San Cristóbal Amoltepec,2925,3368,2895,427,2988
20128,San Cristóbal Lachirioag,1291,1136,1090,51,1085
20129,San Cristóbal Suchixtlahuaca,1214,1219,1244,15,1629
20130,San Dionisio del Mar,11605,12404,13324,1221,14485
20131,San Dionisio Ocotepec,7841,7898,8255,2508,9950
20132,San Dionisio Ocotlán,1306,1167,1136,528,1612
20133,San Esteban Atatlahuca,2999,3286,2574,557,2862
20134,San Felipe Jalapa de Díaz,34884,38065,41238,2792,58310
20135,San Felipe Tejalápam,6314,6127,6111,3080,7139
20136,San Felipe Usila,21832,23469,21250,4347,29450
20137,San Francisco Cahuacuá,7294,7327,7188,3072,8313
20138,San Francisco Cajonos,904,826,816,144,833
20139,San Francisco Chapulapa,2085,2365,2581,438,2802
20140,San Francisco Chindúa,510,523,514,87,534
20141,San Francisco del Mar,19143,19733,20732,3345,23998
20142,San Francisco Huehuetlán,4561,5285,5759,1309,6185
20143,San Francisco Ixhuatán,22603,21161,23204,3840,33970
20144,San Francisco Jaltepetongo,1969,2029,1975,335,2014
20145,San Francisco Lachigoló,2583,2561,2467,846,2882
20146,San Francisco Logueche,947,984,965,367,1124
20147,San Francisco Nuxaño,817,866,830,159,859
20148,San Francisco Ozolotepec,1426,1457,1518,1470,1935
20149,San Francisco Sola,2028,1874,1629,643,2017
20150,San Francisco Telixtlahuaca,5095,4974,4991,2719,5792
20151,San Francisco Teopan,2327,2365,2429,142,3014
20152,San Francisco Tlapancingo,7790,7318,5619,546,5310
20153,San Gabriel Mixtepec,16462,17440,30454,16685,37700
20154,San Ildefo0o Amatlán,1079,1109,1098,240,1121
