CVEGEO,Nombre,APM_1994,APM_1995,APM_1996,APM_1997,APM_1998,APM_1999,APM_2000,APM_2001,APM_2002,APM_2003,APM_2004,APM_2005,APM_2006,APM_2007,APM_2008,APM_2009,APM_2010,APM_2011,APM_2012,APM_2013,APM_2014,APM_2015,APM_2016
20001,Abejones,,0,6526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4428
20002,Acatlán de Pérez Figueroa,,0,0,0,0,0,1384,1584,3938,0,0,1000,0,0,600,0,492,0,0,0,0,0,0
20003,Asunción Cacalotepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20004,Asunción Cuyotepeji,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20005,Asunción Ixtaltepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20006,Asunción Nochixtlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007,Asunción Ocotlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20008,Asunción Tlacolulita,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009,Ayotzintepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20010,El Barrio de la Soledad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20011,Calihualá,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20012,Candelaria Loxicha,,629,2176,367,6671,880,2985,0,441,1384,0,0,1478,0,506,0,0,0,1832,2391,2855,2897,2165
20013,Ciénega de Zimatlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20014,Ciudad Ixtepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20015,Coatecas Altas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20016,Coicoyán de las Flores,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20017,La Compañía,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,7,7,8,6
20018,Concepción Buenavista,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20019,Concepción Pápalo,,0,7644,9792,56144,86184,58128,26302,30277,16744,11003,3896,0,1034,10164,7499,0,1917,21707,29103,32810,22267,19621
20020,Constancia del Rosario,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20021,Cosolapa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20022,Cosoltepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20023,Cuilápam de Guerrero,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20024,Cuyamecalco Villa de Zaragoza,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694,1570,0
20025,Chahuites,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20026,Chalcatongo de Hidalgo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20027,Chiquihuitlán de Benito Juárez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20028,Heroica Ciudad de Ejutla de Crespo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,446,1843
20029,Eloxochitlán de Flores Magón,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030,El Espinal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20031,Tamazulápam del Espíritu Santo,,0,0,0,0,0,0,0,0,0,0,0,0,313,506,0,0,0,0,0,0,0,0
20032,Fresnillo de Trujano,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20033,Guadalupe Etla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20034,Guadalupe de Ramírez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20035,Guelatao de Juárez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20036,Guevea de Humboldt,,0,0,0,0,0,5,5,13,81,0,0,0,0,0,0,0,0,0,0,0,0,0
20037,Mesones Hidalgo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20038,Villa Hidalgo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,305,645
20039,Heroica Ciudad de Huajuapan de León,,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
20040,Huautepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20041,Huautla de Jiménez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,389,0
20042,Ixtlán de Juárez,,81487,88063,813,13183,81534,25276,23012,57044,44314,0,0,42210,10547,574,542,719,7459,39154,7934,15686,50933,33588
20043,Heroica Ciudad de Juchitán de Zaragoza,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20044,Loma Bonita,,0,0,0,0,0,0,0,58,0,113,750,1947,124,478,85,172,1662,0,0,0,0,0
20045,Magdalena Apasco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20046,Magdalena Jaltepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20047,Santa Magdalena Jicotlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20048,Magdalena Mixtepec,,2586,0,0,3207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2887,2691
20049,Magdalena Ocotlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20050,Magdalena Peñasco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20051,Magdalena Teitipac,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20052,Magdalena Tequisistlán,,0,0,0,0,0,0,0,0,0,0,0,0,600,6168,0,0,0,0,0,0,1448,0
20053,Magdalena Tlacotepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20054,Magdalena Zahuatlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20055,Mariscala de Juárez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20056,Mártires de Tacubaya,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20057,Matías Romero Avendaño,,44640,0,25669,8944,19141,6721,5567,1822,3337,1581,2251,0,0,0,960,960,0,0,0,0,0,0
20058,Mazatlán Villa de Flores,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10985,7394,0
20059,Miahuatlán de Porfirio Díaz,,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
20060,Mixistlán de la Reforma,,0,0,0,0,0,0,0,0,7241,0,0,0,0,0,0,0,0,0,0,0,0,0
20061,Monjas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20062,Natividad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20063,Nazareno Etla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20064,Nejapa de Madero,,19651,0,7335,15790,11552,15245,13803,0,41409,3301,11930,15378,17973,0,0,0,0,22064,24277,14310,16255,0
20065,Ixpantepec Nieves,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20066,Santiago Niltepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20067,Oaxaca de Juárez,,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,33,269,0,0,17
20068,Ocotlán de Morelos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20069,La Pe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070,Pinotepa de Don Luis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071,Pluma Hidalgo,,0,440,378,1395,0,958,336,3,0,0,0,773,0,842,430,0,838,130,224,0,0,0
20072,San José del Progreso,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20073,Putla Villa de Guerrero,,0,8338,5116,0,0,0,3973,0,1573,0,0,15109,0,0,0,5615,1432,5683,461,0,0,0
20074,Santa Catarina Quioquitani,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,1348,0
20075,Reforma de Pineda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20076,La Reforma,,0,3520,11503,0,6793,2922,12527,0,0,0,0,3531,1830,0,0,0,0,1118,1081,1437,2820,1807
20077,Reyes Etla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20078,Rojas de Cuauhtémoc,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20079,Salina Cruz,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080,San Agustín Amatengo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081,San Agustín Atenango,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20082,San Agustín Chayuco,,13844,5064,0,6934,3068,0,1524,0,0,0,0,0,0,1744,1722,0,0,0,0,0,0,0
20083,San Agustín de las Juntas,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
20084,San Agustín Etla,,0,0,0,0,0,0,0,0,0,0,0,1143,1480,0,1149,1444,1304,704,634,0,406,291
20085,San Agustín Loxicha,,21741,15625,12898,25747,5329,3384,1192,914,1815,248,2412,2267,2788,7412,1006,2505,2062,11152,7022,7626,1256,754
20086,San Agustín Tlacotepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20087,San Agustín Yatareni,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20088,San Andrés Cabecera Nueva,,58048,18560,52307,27949,25816,11284,29862,7249,0,482,0,7465,0,0,0,0,0,1572,0,5845,0,0
20089,San Andrés Dinicuiti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090,San Andrés Huaxpaltepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20091,San Andrés Huayápam,,0,0,0,0,0,0,0,0,0,2902,0,0,1441,871,0,0,0,2741,2741,0,0,5
20092,San Andrés Ixtlahuaca,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20093,San Andrés Lagunas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20094,San Andrés Nuxiño,,0,0,0,0,0,0,0,0,0,0,0,4594,0,0,0,0,0,2958,2725,3533,5332,0
20095,San Andrés Paxtlán,,0,0,0,1492,525,0,0,0,0,0,0,0,0,0,0,321,0,669,483,415,440,899
20096,San Andrés Sinaxtla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20097,San Andrés Solaga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,375,0,52,0
20098,San Andrés Teotilálpam,,0,0,0,0,0,0,6961,5597,0,786,0,0,0,0,0,0,0,0,0,0,0,0
20099,San Andrés Tepetlapa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100,San Andrés Yaá,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4493,0,0,0
20101,San Andrés Zabache,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102,San Andrés Zautla,,0,0,0,0,0,0,0,0,4205,0,1202,762,492,2509,576,0,0,4107,4010,4702,5020,6123
20103,San Antonino Castillo Velasco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20104,San Antonino el Alto,,10847,5373,6481,5532,1265,6142,7692,0,0,0,0,0,0,6020,0,0,8893,18204,18988,20579,17308,16490
