CVEGEO,Nombre,PM_1995,PM_1996,PM_1997,PM_1998,PM_1999,PM_2000,PM_2001,PM_2002,PM_2003,PM_2004,PM_2005,PM_2006,PM_2007,PM_2008,PM_2009,PM_2010,PM_2011,PM_2012,PM_2013,PM_2014,PM_2015,PM_2016,promedio
20001,Abejones,0,1361,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4090909090909
20002,Acatlán de Pérez Figueroa,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54545454545455
20003,Asunción Cacalotepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20004,Asunción Cuyotepeji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20005,Asunción Ixtaltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20006,Asunción Nochixtlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007,Asunción Ocotlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20008,Asunción Tlacolulita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009,Ayotzintepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20010,El Barrio de la Soledad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20011,Calihualá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20012,Candelaria Loxicha,386,1140,35,2820,909,0,0,0,295,199,0,0,0,419,0,0,0,0,0,0,618,0,310.045454545455
20013,Ciénega de Zimatlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20014,Ciudad Ixtepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20015,Coatecas Altas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20016,Coicoyán de las Flores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20017,La Compañía,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20018,Concepción Buenavista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20019,Concepción Pápalo,0,368,1232,4995,33717,22829,44624,30434,5249,3177,0,0,0,61,865,0,1071,1718,5000,3586,7869,1495,7649.54545454546
20020,Constancia del Rosario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20021,Cosolapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20022,Cosoltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20023,Cuilápam de Guerrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20024,Cuyamecalco Villa de Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,12.8181818181818
20025,Chahuites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20026,Chalcatongo de Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20027,Chiquihuitlán de Benito Juárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20028,Heroica Ciudad de Ejutla de Crespo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20029,Eloxochitlán de Flores Magón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030,El Espinal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20031,Tamazulápam del Espíritu Santo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20032,Fresnillo de Trujano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20033,Guadalupe Etla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20034,Guadalupe de Ramírez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20035,Guelatao de Juárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20036,Guevea de Humboldt,0,0,0,0,0,18,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1.18181818181818
20037,Mesones Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20038,Villa Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20039,Heroica Ciudad de Huajuapan de León,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20040,Huautepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20041,Huautla de Jiménez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20042,Ixtlán de Juárez,26564,29565,19443,13692,23838,23674,18618,12341,17644,29437,1355,10319,18780,24848,30036,29195,18283,25624,12600,16449,40305,50251,22402.7727272727
20043,Heroica Ciudad de Juchitán de Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14313,0,0,0,0,0,0,650.590909090909
20044,Loma Bonita,0,0,0,0,0,0,0,32,0,0,229,0,0,0,0,0,0,0,0,0,0,0,11.8636363636364
20045,Magdalena Apasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20046,Magdalena Jaltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20047,Santa Magdalena Jicotlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20048,Magdalena Mixtepec,841,0,0,106,516,2086,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,262.136363636364
20049,Magdalena Ocotlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20050,Magdalena Peñasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20051,Magdalena Teitipac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20052,Magdalena Tequisistlán,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,5.22727272727273
20053,Magdalena Tlacotepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20054,Magdalena Zahuatlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20055,Mariscala de Juárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20056,Mártires de Tacubaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20057,Matías Romero Avendaño,11295,7179,6929,6001,716,63,27,242,0,0,0,0,0,69,0,0,0,0,808,0,0,0,1514.95454545455
20058,Mazatlán Villa de Flores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20059,Miahuatlán de Porfirio Díaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060,Mixistlán de la Reforma,0,0,0,0,0,0,0,0,3560,0,0,0,0,0,0,0,0,0,0,0,0,0,161.818181818182
20061,Monjas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20062,Natividad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20063,Nazareno Etla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20064,Nejapa de Madero,5908,1517,372,1758,5456,10505,7233,4994,11961,16856,14761,0,1479,642,0,0,0,0,0,0,0,0,3792.81818181818
20065,Ixpantepec Nieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20066,Santiago Niltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20067,Oaxaca de Juárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,8.5
20068,Ocotlán de Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20069,La Pe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070,Pinotepa de Don Luis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071,Pluma Hidalgo,0,119,155,731,0,233,189,0,0,0,0,0,608,676,0,0,0,0,0,0,0,0,123.227272727273
20072,San José del Progreso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20073,Putla Villa de Guerrero,0,931,1732,644,0,0,2363,0,0,0,0,695,0,0,4460,4859,514,0,0,0,0,0,736.272727272727
20074,Santa Catarina Quioquitani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20075,Reforma de Pineda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20076,La Reforma,0,4256,5523,3696,4264,1314,2181,2349,0,856,0,0,917,0,0,0,0,0,756,1147,2151,1166,1389.81818181818
20077,Reyes Etla,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.8181818181818
20078,Rojas de Cuauhtémoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20079,Salina Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080,San Agustín Amatengo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081,San Agustín Atenango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20082,San Agustín Chayuco,7918,2081,1465,1704,911,1011,0,717,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,774.227272727273
20083,San Agustín de las Juntas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20084,San Agustín Etla,0,0,0,0,0,0,0,0,1856,3528,932,1840,782,0,0,0,0,0,0,0,0,0,406.272727272727
20085,San Agustín Loxicha,12701,4445,6285,25549,2242,2751,1839,1753,703,0,390,0,2828,1278,5130,3801,2941,7711,5743,740,1120,2474,4201.09090909091
