CVEGEO,Nombre,VPM_1994,VPM_1995,VPM_1996,VPM_1997,VPM_1998,VPM_1999,VPM_2000,VPM_2001,VPM_2002,VPM_2003,VPM_2004,VPM_2005,VPM_2006,VPM_2007,VPM_2008,VPM_2009,VPM_2010,VPM_2011,VPM_2012,VPM_2013,VPM_2014,VPM_2015,VPM_2016
20001,Abejones,,0,406,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,Acatlán de Pérez Figueroa,,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20003,Asunción Cacalotepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20004,Asunción Cuyotepeji,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20005,Asunción Ixtaltepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20006,Asunción Nochixtlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007,Asunción Ocotlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20008,Asunción Tlacolulita,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009,Ayotzintepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20010,El Barrio de la Soledad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20011,Calihualá,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20012,Candelaria Loxicha,,96,445,17,1410,636,0,0,0,124,97,0,0,0,330,0,0,0,0,0,0,533,0
20013,Ciénega de Zimatlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20014,Ciudad Ixtepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20015,Coatecas Altas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20016,Coicoyán de las Flores,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20017,La Compañía,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20018,Concepción Buenavista,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20019,Concepción Pápalo,,0,144,387,2498,23416,16665,33468,24347,3559,2219,0,0,0,49,682,0,910,940,3977,3227,6971,1280
20020,Constancia del Rosario,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20021,Cosolapa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20022,Cosoltepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20023,Cuilápam de Guerrero,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20024,Cuyamecalco Villa de Zaragoza,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0
20025,Chahuites,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20026,Chalcatongo de Hidalgo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20027,Chiquihuitlán de Benito Juárez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20028,Heroica Ciudad de Ejutla de Crespo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20029,Eloxochitlán de Flores Magón,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030,El Espinal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20031,Tamazulápam del Espíritu Santo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20032,Fresnillo de Trujano,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20033,Guadalupe Etla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20034,Guadalupe de Ramírez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20035,Guelatao de Juárez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20036,Guevea de Humboldt,,0,0,0,0,0,23,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
20037,Mesones Hidalgo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20038,Villa Hidalgo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20039,Heroica Ciudad de Huajuapan de León,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20040,Huautepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20041,Huautla de Jiménez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20042,Ixtlán de Juárez,,6576,11165,7364,6195,17748,17227,14825,11044,13744,23790,1036,7733,15374,20050,23857,23120,15252,24795,14043,20642,43310,55744
20043,Heroica Ciudad de Juchitán de Zaragoza,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7157,0,0,0,0,0,0
20044,Loma Bonita,,0,0,0,0,0,0,0,45,0,0,120,0,0,0,0,0,0,0,0,0,0,0
20045,Magdalena Apasco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20046,Magdalena Jaltepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20047,Santa Magdalena Jicotlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20048,Magdalena Mixtepec,,209,0,0,53,413,1565,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882
20049,Magdalena Ocotlán,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
