CVEGEO,Nombre,POB_1995,POB_2000,POB_2005,POB_2010,hombres15,mujeres15,POB_2015,prom
20001,Abejones,967,1540,1144,1084,370,512,882,1183.75
20002,Acatlán de Pérez Figueroa,44006,44579,42347,44885,22376,23507,45883,43954.25
20003,Asunción Cacalotepec,2631,2567,2095,2495,984,1043,2027,2447
20004,Asunción Cuyotepeji,845,883,753,1012,437,493,930,873.25
20005,Asunción Ixtaltepec,15537,14249,14438,14751,7485,7620,15105,14743.75
20006,Asunción Nochixtlán,12299,13745,14676,17820,8588,9937,18525,14635
20007,Asunción Ocotlán,3982,3655,3257,2612,1156,1394,2550,3376.5
20008,Asunción Tlacolulita,958,918,699,842,366,392,758,854.25
20009,Ayotzintepec,5087,5660,6524,6720,3506,3596,7102,5997.75
20010,El Barrio de la Soledad,13041,13186,13439,13608,6809,7468,14277,13318.5
20011,Calihualá,1298,1317,1057,1220,568,614,1182,1223
20012,Candelaria Loxicha,8124,9566,8686,9860,5151,5346,10497,9059
20013,Ciénega de Zimatlán,3075,2942,2562,2785,1415,1538,2953,2841
20014,Ciudad Ixtepec,21498,22675,24181,26450,13606,15031,28637,23701
20015,Coatecas Altas,5216,5803,4882,4712,2258,2565,4823,5153.25
20016,Coicoyán de las Flores,4862,5733,7598,8531,4672,5264,9936,6681
20017,La Compañía,4174,3998,3367,3302,1626,1739,3365,3710.25
20018,Concepción Buenavista,1004,946,828,834,397,406,803,903
20019,Concepción Pápalo,3382,3077,2920,3071,1448,1486,2934,3112.5
20020,Constancia del Rosario,2976,3295,3796,3860,1821,2126,3947,3481.75
20021,Cosolapa,14547,14467,14305,14667,7538,8328,15866,14496.5
20022,Cosoltepec,1065,931,1022,866,338,378,716,971
20023,Cuilápam de Guerrero,11235,12812,15041,18428,10475,11122,21597,14379
20024,Cuyamecalco Villa de Zaragoza,4094,4298,3783,3846,1825,1818,3643,4005.25
20025,Chahuites,9266,9799,9929,11105,5626,5787,11413,10024.75
20026,Chalcatongo de Hidalgo,7881,7828,7483,8481,4256,4810,9066,7918.25
20027,Chiquihuitlán de Benito Juárez,2551,2501,2368,2458,999,1252,2251,2469.5
20028,Heroica Ciudad de Ejutla de Crespo,18404,17573,17232,19679,9876,11039,20915,18222
20029,Eloxochitlán de Flores Magón,3124,4149,4042,4263,1930,2205,4135,3894.5
20030,El Espinal,7921,7705,8219,8310,4180,4395,8575,8038.75
20031,Tamazulápam del Espíritu Santo,5391,6704,6908,7362,3106,3996,7102,6591.25
20032,Fresnillo de Trujano,1017,1138,852,1033,485,511,996,1010
20033,Guadalupe Etla,1770,2004,2349,2433,1236,1401,2637,2139
20034,Guadalupe de Ramírez,1309,1400,1214,1425,563,609,1172,1337
20035,Guelatao de Juárez,655,754,476,544,254,277,531,607.25
20036,Guevea de Humboldt,5724,5610,5283,5285,2589,2820,5409,5475.5
20037,Mesones Hidalgo,3955,4185,3961,4402,2033,2347,4380,4125.75
20038,Villa Hidalgo,2287,2132,1955,2112,909,1008,1917,2121.5
20039,Heroica Ciudad de Huajuapan de León,47827,53219,57808,69839,36429,41118,77547,57173.25
20040,Huautepec,5441,6567,5672,5995,2928,3371,6299,5918.75
20041,Huautla de Jiménez,27206,31040,31829,30004,14636,16915,31551,30019.75
20042,Ixtlán de Juárez,6689,7287,7188,7674,4035,4233,8268,7209.5
20043,Heroica Ciudad de Juchitán de Zaragoza,75946,78512,85869,93038,47156,50887,98043,83341.25
20044,Loma Bonita,41744,40877,39166,41535,20397,22487,42884,40830.5
20045,Magdalena Apasco,3845,3942,6148,7522,3933,4370,8303,5364.25
20046,Magdalena Jaltepec,3752,3717,3463,3313,1451,1698,3149,3561.25
20047,Santa Magdalena Jicotlán,121,109,102,93,39,48,87,106.25
20048,Magdalena Mixtepec,917,946,1101,1304,662,713,1375,1067
