FID_171204,CVE_EDO,NOM_EDO,CVEGEO,NOM_MUN,SUP_MUN,SUP_MUN_ZE,REGION,AP
3845,20,Oaxaca,20012,Candelaria Loxicha,18217.89,0.08540545952,CENTRO-SUR,4B
3846,20,Oaxaca,20012,Candelaria Loxicha,18217.89,0.07935827293,CENTRO-SUR,5
3847,20,Oaxaca,20012,Candelaria Loxicha,18217.89,0.47680304165,CENTRO-SUR,6
3882,20,Oaxaca,20022,Cosoltepec,11142.86,1895.80675091,CENTRO-SUR,5
3883,20,Oaxaca,20022,Cosoltepec,11142.86,909.843408012,CENTRO-SUR,6
3884,20,Oaxaca,20023,CuilÃ¡pam de Guerrero,4989.06,1.59760242021,CENTRO-SUR,3A
3894,20,Oaxaca,20026,Chalcatongo de Hidalgo,13360.04,7.99166098204,CENTRO-SUR,3A
3930,20,Oaxaca,20037,Mesones Hidalgo,17510.58,2719.44719263,CENTRO-SUR,3A
3931,20,Oaxaca,20037,Mesones Hidalgo,17510.58,1031.02666647,CENTRO-SUR,3B
3932,20,Oaxaca,20037,Mesones Hidalgo,17510.58,575.335703549,CENTRO-SUR,5
3933,20,Oaxaca,20037,Mesones Hidalgo,17510.58,1217.82430898,CENTRO-SUR,6
3971,20,Oaxaca,20045,Magdalena Apasco,2699.53,181.529909898,CENTRO-SUR,3A
3972,20,Oaxaca,20045,Magdalena Apasco,2699.53,1.59255079822,CENTRO-SUR,3B
3973,20,Oaxaca,20045,Magdalena Apasco,2699.53,0.99118544715,CENTRO-SUR,6
3981,20,Oaxaca,20048,Magdalena Mixtepec,4111.82,1504.84198584,CENTRO-SUR,3A
3982,20,Oaxaca,20048,Magdalena Mixtepec,4111.82,292.851752982,CENTRO-SUR,3B
3983,20,Oaxaca,20048,Magdalena Mixtepec,4111.82,0.95300056173,CENTRO-SUR,6
3988,20,Oaxaca,20051,Magdalena Teitipac,3944.1,26.9451761292,CENTRO-SUR,3A
3989,20,Oaxaca,20051,Magdalena Teitipac,3944.1,730.063599369,CENTRO-SUR,3B
3992,20,Oaxaca,20052,Magdalena TequisistlÃ¡n,84445.02,1690.06549509,CENTRO-SUR,3B
4017,20,Oaxaca,20059,MiahuatlÃ¡n de Porfirio DÃ­az,46951.27,1468.91749239,CENTRO-SUR,3A
4018,20,Oaxaca,20059,MiahuatlÃ¡n de Porfirio DÃ­az,46951.27,486.960956793,CENTRO-SUR,3B
4020,20,Oaxaca,20059,MiahuatlÃ¡n de Porfirio DÃ­az,46951.27,215.833270151,CENTRO-SUR,6
4034,20,Oaxaca,20064,Nejapa de Madero,50605.73,64.9805202655,CENTRO-SUR,3A
4035,20,Oaxaca,20064,Nejapa de Madero,50605.73,6890.88194581,CENTRO-SUR,3B
4036,20,Oaxaca,20064,Nejapa de Madero,50605.73,49.6938997533,CENTRO-SUR,5
4037,20,Oaxaca,20064,Nejapa de Madero,50605.73,5525.51221142,CENTRO-SUR,6
4045,20,Oaxaca,20067,Oaxaca de JuÃ¡rez,8965.77,1525.47540652,CENTRO-SUR,3A
4046,20,Oaxaca,20067,Oaxaca de JuÃ¡rez,8965.77,928.71369765,CENTRO-SUR,3B
4048,20,Oaxaca,20067,Oaxaca de JuÃ¡rez,8965.77,33.0417365009,CENTRO-SUR,6
4049,20,Oaxaca,20068,OcotlÃ¡n de Morelos,11983.21,10.9367021025,CENTRO-SUR,3A
4050,20,Oaxaca,20068,OcotlÃ¡n de Morelos,11983.21,0.09960476013,CENTRO-SUR,3B
4063,20,Oaxaca,20073,Putla Villa de Guerrero,40755.49,630.617599778,CENTRO-SUR,1
4064,20,Oaxaca,20073,Putla Villa de Guerrero,40755.49,118.537443063,CENTRO-SUR,2
4065,20,Oaxaca,20073,Putla Villa de Guerrero,40755.49,974.633564811,CENTRO-SUR,3A
4066,20,Oaxaca,20073,Putla Villa de Guerrero,40755.49,55.9726476319,CENTRO-SUR,3B
4068,20,Oaxaca,20073,Putla Villa de Guerrero,40755.49,752.552049757,CENTRO-SUR,6
4069,20,Oaxaca,20074,Santa Catarina Quioquitani,3862.22,38.6143186756,CENTRO-SUR,3A
4070,20,Oaxaca,20074,Santa Catarina Quioquitani,3862.22,895.867421354,CENTRO-SUR,3B
4071,20,Oaxaca,20074,Santa Catarina Quioquitani,3862.22,101.336895158,CENTRO-SUR,6
4074,20,Oaxaca,20076,La Reforma,18720.33,59.6788795735,CENTRO-SUR,1
4075,20,Oaxaca,20076,La Reforma,18720.33,196.155498161,CENTRO-SUR,2
4076,20,Oaxaca,20076,La Reforma,18720.33,7087.16289543,CENTRO-SUR,3A
4077,20,Oaxaca,20076,La Reforma,18720.33,918.785810256,CENTRO-SUR,3B
4078,20,Oaxaca,20076,La Reforma,18720.33,515.400196379,CENTRO-SUR,6
4092,20,Oaxaca,20082,San AgustÃ­n Chayuco,15158.6,102.906744359,CENTRO-SUR,1
4093,20,Oaxaca,20082,San AgustÃ­n Chayuco,15158.6,2554.3957832,CENTRO-SUR,2
4094,20,Oaxaca,20082,San AgustÃ­n Chayuco,15158.6,1465.19456818,CENTRO-SUR,3A
4095,20,Oaxaca,20082,San AgustÃ­n Chayuco,15158.6,446.096486007,CENTRO-SUR,3B
4096,20,Oaxaca,20082,San AgustÃ­n Chayuco,15158.6,4.04432906987,CENTRO-SUR,4B
4097,20,Oaxaca,20082,San AgustÃ­n Chayuco,15158.6,515.999417886,CENTRO-SUR,5
4098,20,Oaxaca,20082,San AgustÃ­n Chayuco,15158.6,699.052598322,CENTRO-SUR,6
4102,20,Oaxaca,20084,San AgustÃ­n Etla,5519.96,1852.65477026,CENTRO-SUR,3A
4103,20,Oaxaca,20084,San AgustÃ­n Etla,5519.96,2433.40326425,CENTRO-SUR,3B
4104,20,Oaxaca,20084,San AgustÃ­n Etla,5519.96,5.43697383106,CENTRO-SUR,6
4105,20,Oaxaca,20085,San AgustÃ­n Loxicha,33779.8,5544.48027973,CENTRO-SUR,1
4106,20,Oaxaca,20085,San AgustÃ­n Loxicha,33779.8,1524.76181177,CENTRO-SUR,2
4107,20,Oaxaca,20085,San AgustÃ­n Loxicha,33779.8,2355.30719655,CENTRO-SUR,3A
4108,20,Oaxaca,20085,San AgustÃ­n Loxicha,33779.8,311.728516666,CENTRO-SUR,3B
4109,20,Oaxaca,20085,San AgustÃ­n Loxicha,33779.8,9761.78535554,CENTRO-SUR,4B
4110,20,Oaxaca,20085,San AgustÃ­n Loxicha,33779.8,1555.24581315,CENTRO-SUR,5
4111,20,Oaxaca,20085,San AgustÃ­n Loxicha,33779.8,4645.90089003,CENTRO-SUR,6
4112,20,Oaxaca,20086,San AgustÃ­n Tlacotepec,5145.86,133.307338198,CENTRO-SUR,3A
4113,20,Oaxaca,20086,San AgustÃ­n Tlacotepec,5145.86,14.5752371204,CENTRO-SUR,3B
4114,20,Oaxaca,20086,San AgustÃ­n Tlacotepec,5145.86,44.9474929837,CENTRO-SUR,6
4118,20,Oaxaca,20088,San AndrÃ©s Cabecera Nueva,26130.03,0.43421571561,CENTRO-SUR,3A
4119,20,Oaxaca,20088,San AndrÃ©s Cabecera Nueva,26130.03,0.02498128919,CENTRO-SUR,3B
4127,20,Oaxaca,20091,San AndrÃ©s HuayÃ¡pam,2761.4,642.693554059,CENTRO-SUR,3A
4128,20,Oaxaca,20091,San AndrÃ©s HuayÃ¡pam,2761.4,1174.13704413,CENTRO-SUR,3B
